id,date,name,weight,pxgo,pxbox,rtmart,carrefour
1010525,2023/08/06,桂格大燕麥片即沖即食,525,None,None,None,199.0
1010800,2023/08/06,桂格大燕麥片即沖即食,800,119.0,None,None,None
1011100,2023/08/06,桂格大燕麥片即沖即食,1100,None,151.0,151.0,151.0
1011250,2023/08/06,桂格大燕麥片即沖即食,1250,170.0,None,None,None
1011700,2023/08/06,桂格大燕麥片即沖即食,1700,None,None,None,219.0
1012600,2023/08/06,桂格大燕麥片即沖即食,2600,None,None,None,329.0
1012800,2023/08/06,桂格大燕麥片即沖即食,2800,None,329.0,329.0,None
1020800,2023/08/06,桂格大燕麥片嚴選薄片,800,None,None,115.0,129.0
1021200,2023/08/06,桂格大燕麥片嚴選薄片,1200,179.0,None,None,None
1030800,2023/08/06,桂格原片原味大燕麥片,800,129.0,129.0,108.0,115.0
1040700,2023/08/06,桂格紅麴蕎麥大燕麥片,700,129.0,129.0,108.0,129.0
1041500,2023/08/06,桂格紅麴蕎麥大燕麥片,1500,None,None,None,219.0
1050700,2023/08/06,桂格紫米山藥大燕麥片,700,None,115.0,115.0,129.0
1060730,2023/08/06,桂格有機大燕麥片,730,None,199.0,199.0,199.0
1070700,2023/08/06,桂格機能燕麥片,700,209.0,209.0,209.0,209.0
1080700,2023/08/06,桂格高鈣燕麥片,700,None,115.0,115.0,129.0
2010800,2023/08/06,馬玉山高纖大燕麥片,800,95.0,95.0,95.0,95.0
2011600,2023/08/06,馬玉山高纖大燕麥片,1600,None,None,None,179.0
2012400,2023/08/06,馬玉山高纖大燕麥片,2400,None,239.0,239.0,239.0
2020800,2023/08/06,馬玉山高纖大黑麥燕麥片,800,None,95.0,95.0,95.0
2030500,2023/08/06,馬玉山高纖即食大燕麥,500,None,49.0,None,None
2040300,2023/08/06,馬玉山黑芝麻牛奶燕麥片,300,None,79.0,79.0,None
3010500,2023/08/06,廣吉特級燕麥片,500,None,35.0,35.0,None
3021800,2023/08/06,廣吉高纖特級燕麥片,1800,None,None,None,105.0
3022000,2023/08/06,廣吉高纖特級燕麥片,2000,None,105.0,105.0,None
3032400,2023/08/06,廣吉大燕麥片原味,2400,None,189.0,None,None
3040400,2023/08/06,廣吉特級燕麥片田園清新,400,None,42.0,None,None
3050400,2023/08/06,廣吉特級燕麥片大地自然,400,None,None,42.0,None
3060300,2023/08/06,廣吉紐西蘭鮮奶燕麥片特濃鮮奶,300,None,79.0,79.0,None
3070300,2023/08/06,廣吉紐西蘭鮮奶燕麥片麥芽可可,300,None,79.0,None,None
4010500,2023/08/06,台糖燕麥片,500,52.0,52.0,46.0,52.0
4020800,2023/08/06,台糖什穀大燕麥片,800,None,116.0,116.0,130.0
5010800,2023/08/06,家樂氏陽光樂活大燕麥片,800,98.0,None,None,None
6010500,2023/08/06,家樂福即食大燕麥片,500,None,None,None,49.0
6011700,2023/08/06,家樂福即食大燕麥片,1700,None,None,None,149.0
6020500,2023/08/06,家樂福有機大燕麥片,500,None,None,None,89.0
6021800,2023/08/06,家樂福有機大燕麥片,1800,None,None,None,269.0
7010700,2023/08/06,麥維爾即沖即食大燕麥片,700,65.0,None,None,None
8010500,2023/08/06,日安細燕麥片,500,None,44.0,None,None
9011000,2023/08/06,Dan-DPak丹帝燕麥片,1000,None,129.0,None,None
9021000,2023/08/06,Dan-DPak丹帝燕麥片-即食型,1000,None,119.0,None,None
9031000,2023/08/06,Dan-DPak丹帝燕麥片快熟型,1000,None,119.0,None,None
9041000,2023/08/06,Dan-DPak丹帝藍莓枸杞亞麻籽燕麥片,1000,None,285.0,None,None
10010500,2023/08/06,米森冰湖大燕麥片,500,None,136.0,136.0,None
11011800,2023/08/06,紅布朗有機冰河大燕麥片,1800,None,None,None,259.0
12010500,2023/08/06,歐特有機大燕麥片,500,None,None,None,150.0
13010400,2023/08/06,統一生機有機大燕麥片,400,None,79.0,79.0,None
14010300,2023/08/06,義美生機芝麻亞麻仁大燕麥片,300,None,None,None,130.0
14020300,2023/08/06,義美生機杏仁亞麻仁大燕麥片,300,None,None,None,130.0
