id,date,name,weight,pxgo,pxbox,rtmart,carrefour
01010525,2023/08/25,桂格大燕麥片即沖即食,525,None,None,None,199
01010800,2023/08/25,桂格大燕麥片即沖即食,800,119,None,None,None
01011100,2023/08/25,桂格大燕麥片即沖即食,1100,None,149,149,151
01011250,2023/08/25,桂格大燕麥片即沖即食,1250,169,None,None,None
01011700,2023/08/25,桂格大燕麥片即沖即食,1700,None,None,None,219
01012600,2023/08/25,桂格大燕麥片即沖即食,2600,None,None,None,329
01012800,2023/08/25,桂格大燕麥片即沖即食,2800,None,329,329,None
01020800,2023/08/25,桂格大燕麥片嚴選薄片,800,None,None,119,115
01021200,2023/08/25,桂格大燕麥片嚴選薄片,1200,179,None,None,None
01030800,2023/08/25,桂格原片原味大燕麥片,800,129,129,119,102
01040700,2023/08/25,桂格紅麴蕎麥大燕麥片,700,129,129,119,105
01041500,2023/08/25,桂格紅麴蕎麥大燕麥片,1500,None,None,None,219
01050700,2023/08/25,桂格紫米山藥大燕麥片,700,None,119,119,115
01060730,2023/08/25,桂格有機大燕麥片,730,None,200,lost,199
01070700,2023/08/25,桂格機能燕麥片,700,209,209,209,209
01080700,2023/08/25,桂格高鈣燕麥片,700,None,119,119,115
02010800,2023/08/25,馬玉山高纖大燕麥片,800,95,95,95,95
02011600,2023/08/25,馬玉山高纖大燕麥片,1600,None,None,None,179
02012400,2023/08/25,馬玉山高纖大燕麥片,2400,None,239,239,239
02020800,2023/08/25,馬玉山高纖大黑麥燕麥片,800,None,95,95,95
02030500,2023/08/25,馬玉山高纖即食大燕麥,500,None,49,None,None
02040300,2023/08/25,馬玉山黑芝麻牛奶燕麥片,300,None,79,79,None
03010500,2023/08/25,廣吉特級燕麥片,500,None,35,35,None
03021800,2023/08/25,廣吉高纖特級燕麥片,1800,None,None,None,99
03022000,2023/08/25,廣吉高纖特級燕麥片,2000,None,135,135,None
03032400,2023/08/25,廣吉大燕麥片原味,2400,None,189,None,None
03040400,2023/08/25,廣吉特級燕麥片田園清新,400,None,42,None,None
03050400,2023/08/25,廣吉特級燕麥片大地自然,400,None,None,lost,None
03060300,2023/08/25,廣吉紐西蘭鮮奶燕麥片特濃鮮奶,300,None,79,79,None
03070300,2023/08/25,廣吉紐西蘭鮮奶燕麥片麥芽可可,300,None,79,None,None
04010500,2023/08/25,台糖燕麥片,500,53,53,53,46
04020800,2023/08/25,台糖什穀大燕麥片,800,None,116,116,116
05010800,2023/08/25,家樂氏陽光樂活大燕麥片,800,lost,None,None,None
06010500,2023/08/25,家樂福即食大燕麥片,500,None,None,None,49
06011700,2023/08/25,家樂福即食大燕麥片,1700,None,None,None,149
06020500,2023/08/25,家樂福有機大燕麥片,500,None,None,None,89
06021800,2023/08/25,家樂福有機大燕麥片,1800,None,None,None,269
07010700,2023/08/25,麥維爾即沖即食大燕麥片,700,65,None,None,None
08010500,2023/08/25,日安細燕麥片,500,None,44,None,None
09011000,2023/08/25,Dan-DPak丹帝燕麥片,1000,None,119,None,None
09021000,2023/08/25,Dan-DPak丹帝燕麥片-即食型,1000,None,119,None,None
09031000,2023/08/25,Dan-DPak丹帝燕麥片快熟型,1000,None,119,None,None
09041000,2023/08/25,Dan-DPak丹帝藍莓枸杞亞麻籽燕麥片,1000,None,275,None,None
10010500,2023/08/25,米森冰湖大燕麥片,500,None,136,lost,None
11011800,2023/08/25,紅布朗有機冰河大燕麥片,1800,None,None,None,259
12010500,2023/08/25,歐特有機大燕麥片,500,None,None,None,150
13010400,2023/08/25,統一生機有機大燕麥片,400,None,150,150,None
14010300,2023/08/25,義美生機芝麻亞麻仁大燕麥片,300,None,None,None,109
14020300,2023/08/25,義美生機杏仁亞麻仁大燕麥片,300,None,None,None,lost
