編號,日期,每100g價格
1041,2023/07/31,14.60
1041,2023/08/01,14.60
1041,2023/08/02,14.60
1041,2023/08/03,14.60
1041,2023/08/04,14.60
1041,2023/08/05,14.60
1041,2023/08/06,14.60
1041,2023/08/07,14.60
1041,2023/08/08,14.60
0104,2023/08/09,14.60
0104,2023/08/10,14.60
0104,2023/08/11,14.60
0104,2023/08/12,14.60
0104,2023/08/13,14.60
0104,2023/08/14,14.60
0104,2023/08/15,14.60
0104,2023/08/16,14.60
0104,2023/08/17,14.60
0104,2023/08/18,14.60
0104,2023/08/19,14.60
0104,2023/08/20,14.60
0104,2023/08/21,14.60
0104,2023/08/22,14.60
0104,2023/08/23,14.60
0104,2023/08/24,14.60
0104,2023/08/25,14.60
0104,2023/08/26,14.60
0104,2023/08/27,14.60
0104,2023/08/28,14.60
0104,2023/08/29,14.60
0104,2023/08/30,14.60
0104,2023/08/31,14.60
0104,2023/09/01,14.60
